,country,year,d_terror,preds_proba
625,Laos,2018,0,0.32778996026892687
626,Laos,2019,0,0.26976402415128886
627,Laos,2020,0,0.23230907801529102
628,Vietnam,2017,0,0.12627169547713413
629,Vietnam,2018,0,0.16552985482975396
630,Vietnam,2019,0,0.19802322226621463
631,Vietnam,2020,0,0.179978257301719
632,Malaysia,2017,0,0.7384969369454243
633,Malaysia,2018,1,0.6358006231418606
634,Malaysia,2019,0,0.7121297605761733
635,Malaysia,2020,1,0.6283676081398046
636,Singapore,2017,0,0.04662872175775115
637,Singapore,2018,0,0.060241220698396526
638,Singapore,2019,0,0.0715361230943526
